id,state,created_at,updated_at,price,quantity,payment_method,shipping_fee,member_email,member_contact,member_name
2bf1a021-aa0b-44e1-bc8f-d30606806742,SHIPPED,2024-09-06 18:48:03,2024-09-09 18:48:03,166590,3,EASYPAY,0,majch98@gmail.com,010-7490-8859,마재창
bdae4856-b352-4bad-99ac-c0777217b0ed,SHIPPED,2024-12-03 13:35:50,2024-12-03 13:35:50,99000,1,KAKAOPAY,0,qnrntmvls@gmail.com,010-4267-8058,박지호
2d95be0c-3ece-4097-b57a-7a702c7589f3,SHIPPED,2024-12-01 11:21:47,2024-12-01 11:21:47,121480,3,TOSSPAY,0,dianaseong31@gmail.com,010-3941-1462,성다해
4b834b33-6df1-4eac-843b-ce45c167b556,SHIPPED,2025-01-06 09:55:37,2025-01-13 09:55:37,83250,1,PAYCO,0,qnrntmvls@gmail.com,010-6599-7164,박지호
4f900ede-19ca-4dc9-b74c-804e21c80e0a,SHIPPED,2025-05-16 13:52:05,2025-05-18 13:52:05,54000,2,EASYPAY,0,majch98@gmail.com,010-5438-7824,마재창
12550c0b-a24d-4908-aa31-d1c7b03109cd,SHIPPED,2025-01-11 22:44:23,2025-01-16 22:44:23,14220,1,LPAY,0,dianaseong31@gmail.com,010-2802-7376,성다해
624bc8d5-88b2-45fe-812d-c13f1ec64da4,SHIPPED,2024-06-15 05:43:26,2024-06-16 05:43:26,176400,3,TMONEY,0,dianaseong31@gmail.com,010-5625-1642,성다해
e04d68f1-7d54-45c3-82bd-93aed4e90e28,SHIPPED,2024-10-02 17:15:40,2024-10-06 17:15:40,149040,3,TMONEY,0,qnrntmvls@gmail.com,010-3173-9725,박지호
11167fa5-ff44-47dd-8a2b-6f79d2beff08,SHIPPED,2024-08-19 09:21:15,2024-08-22 09:21:15,172980,2,TMONEY,0,qnrntmvls@gmail.com,010-6181-8681,박지호
3a541b92-583e-4ef4-a421-6ea67ed49480,SHIPPED,2024-10-15 06:18:09,2024-10-18 06:18:09,69120,2,LPAY,0,qnrntmvls@gmail.com,010-9757-6246,박지호
7035fcb1-88ac-4720-91da-6dc9aea2f6d3,FAILED,2024-12-02 01:16:49,2024-12-02 01:16:49,197010,3,EASYPAY,0,majch98@gmail.com,010-7353-2500,마재창
abecc39b-892c-439e-a6f3-c71c0fffca38,CANCELED,2025-01-24 04:29:00,2025-01-27 04:29:00,153000,2,PAYCO,0,majch98@gmail.com,010-5134-1382,마재창
c1fc23c1-349e-46df-8ef9-91f106c2a1cf,SHIPPED,2024-09-01 00:27:16,2024-09-07 00:27:16,193500,3,SAMSUNGPAY,0,qnrntmvls@gmail.com,010-9655-6046,박지호
425e8675-8ff9-4b5e-8320-4d2b1e303adc,SHIPPED,2024-11-26 13:59:15,2024-11-30 13:59:15,81000,1,TMONEY,0,majch98@gmail.com,010-8441-9030,마재창
bd0ff34f-2f09-46b4-adaa-cef7599b9ba9,SHIPPED,2025-04-09 13:45:08,2025-04-14 13:45:08,13500,1,KAKAOPAY,0,qnrntmvls@gmail.com,010-7101-6782,박지호
47f6b21f-d213-416b-8a7b-ac69787eb1ef,FAILED,2024-11-26 19:43:13,2024-11-29 19:43:13,24840,1,TOSSPAY,0,majch98@gmail.com,010-3454-5745,마재창
9fe216f3-b49d-4783-8772-d3aa9704d51f,CANCELED,2024-08-26 23:44:37,2024-08-29 23:44:37,110700,2,TMONEY,0,dianaseong31@gmail.com,010-9531-5947,성다해
2a1536aa-1bad-45be-bc94-a66bf5787822,SHIPPED,2025-04-21 14:05:54,2025-04-28 14:05:54,53460,1,TOSSPAY,0,majch98@gmail.com,010-8470-5665,마재창
1dd9bc74-aee9-471f-8e06-d390ac999983,CANCELED,2024-06-28 05:22:59,2024-07-03 05:22:59,60840,3,PAYCO,0,qnrntmvls@gmail.com,010-5386-8152,박지호
6d0ab98a-ac26-4365-b559-23dfc7d115dc,SHIPPED,2024-05-28 21:36:05,2024-06-01 21:36:05,39600,1,TMONEY,0,majch98@gmail.com,010-2623-1519,마재창
50a3e8bb-1b77-4d39-ac3d-961e5a4c9539,SHIPPED,2024-11-06 21:28:48,2024-11-10 21:28:48,119610,2,SAMSUNGPAY,0,dianaseong31@gmail.com,010-6483-9871,성다해
5ab1745f-86dc-4531-85b0-98ac861eda10,SHIPPED,2024-10-08 14:44:29,2024-10-15 14:44:29,117360,2,CARD,0,dianaseong31@gmail.com,010-2407-7207,성다해
89ddc959-0443-4a16-af56-37210cd89161,SHIPPED,2024-06-16 15:07:42,2024-06-19 15:07:42,162000,3,KAKAOPAY,0,majch98@gmail.com,010-1406-7399,마재창
e050b226-3161-4601-a4d2-cac01168f91e,SHIPPED,2025-02-21 00:04:47,2025-02-23 00:04:47,165060,3,KAKAOPAY,0,majch98@gmail.com,010-3863-1613,마재창
8e062164-6b94-44d0-8d8f-612dfe7ace0b,SHIPPED,2025-03-07 05:08:20,2025-03-10 05:08:20,62100,2,TOSSPAY,0,qnrntmvls@gmail.com,010-9445-6166,박지호
14158cbd-5fd6-46b8-ac2d-0e0c8b595ef2,SHIPPED,2024-08-17 13:49:11,2024-08-21 13:49:11,97650,2,CARD,0,majch98@gmail.com,010-8009-1515,마재창
dd9a8644-fa54-43ab-a4e2-2dd1cedbec2b,SHIPPED,2024-08-13 09:40:05,2024-08-18 09:40:05,232200,3,EASYPAY,0,dianaseong31@gmail.com,010-2289-4932,성다해
9227bc61-49d9-4d6d-a1f4-6f3592788ac7,SHIPPED,2025-01-08 19:19:19,2025-01-14 19:19:19,28800,1,EASYPAY,0,dianaseong31@gmail.com,010-6541-8676,성다해
caedfcf6-cb1e-4724-bf09-723b4238ee3f,SHIPPED,2024-08-28 22:44:06,2024-08-29 22:44:06,144000,2,NAVERPAY,0,majch98@gmail.com,010-5218-7624,마재창
84831fa9-35d2-4938-acc3-4ec5e43e5225,CANCELED,2024-06-26 17:12:37,2024-06-29 17:12:37,90000,2,PAYCO,0,qnrntmvls@gmail.com,010-9870-9952,박지호
31b64368-b258-455c-8cf9-3d6ea293afe9,SHIPPED,2024-06-14 12:03:48,2024-06-16 12:03:48,76500,2,NAVERPAY,0,dianaseong31@gmail.com,010-3780-6304,성다해
e75bb33f-3fb3-464c-af9d-15c4e5e8d148,SHIPPED,2024-12-22 15:54:31,2024-12-24 15:54:31,137610,3,NAVERPAY,0,majch98@gmail.com,010-5202-7765,마재창
020d8321-ab04-4bdd-9a21-a32cad4e8e2c,CANCELED,2025-06-18 14:55:25,2025-06-25 14:55:25,306450,3,KAKAOPAY,0,majch98@gmail.com,010-8638-3424,마재창
7d98efbc-038b-4337-a453-43caa002169d,CANCELED,2024-06-20 20:10:50,2024-06-25 20:10:50,145800,2,LPAY,0,qnrntmvls@gmail.com,010-5964-2091,박지호
dd9cd4b5-c0fe-4999-9b7e-93b4b08989c2,SHIPPED,2024-12-18 23:58:09,2024-12-23 23:58:09,160200,2,PAYCO,0,majch98@gmail.com,010-8860-1690,마재창
ceaf86dc-44a1-4166-8de5-a8dd1a5f62ee,SHIPPED,2025-04-21 21:24:07,2025-04-22 21:24:07,88380,2,PAYCO,0,dianaseong31@gmail.com,010-1881-4372,성다해
58b7418e-e98b-4550-97a9-ad9fd96b8aa0,SHIPPED,2024-11-29 21:38:12,2024-12-06 21:38:12,31950,2,KAKAOPAY,0,qnrntmvls@gmail.com,010-7015-5031,박지호
df6cd33f-f6f2-42ea-8901-b85f2a5c16c4,SHIPPED,2024-10-13 05:25:50,2024-10-15 05:25:50,111150,2,SAMSUNGPAY,0,dianaseong31@gmail.com,010-3227-2488,성다해
254a03ba-1957-4706-9f16-a7c25944f2ad,SHIPPED,2024-09-09 18:00:51,2024-09-11 18:00:51,125460,2,SAMSUNGPAY,0,dianaseong31@gmail.com,010-3165-3068,성다해
39a7bb06-ec49-4722-a7cc-e2a6f50982af,SHIPPED,2024-12-31 13:25:38,2025-01-07 13:25:38,45000,1,CARD,0,dianaseong31@gmail.com,010-3752-8156,성다해
e2374bd2-5503-445d-afa3-fac58b16b514,CANCELED,2025-02-09 01:44:03,2025-02-12 01:44:03,90000,1,TMONEY,0,qnrntmvls@gmail.com,010-5763-4857,박지호
e43586c4-3d35-4dde-97cd-ec2f0e8f0245,SHIPPED,2024-12-18 01:30:23,2024-12-18 01:30:23,178860,3,KAKAOPAY,0,qnrntmvls@gmail.com,010-5239-9102,박지호
b4362257-e5f5-4dfa-9576-162e029ae3d8,SHIPPED,2025-02-10 16:00:26,2025-02-12 16:00:26,132480,2,KAKAOPAY,0,qnrntmvls@gmail.com,010-1911-4638,박지호
185e7d84-6ee3-4b33-a141-b7e83a89be7a,SHIPPED,2024-05-31 12:39:30,2024-06-04 12:39:30,36000,1,LPAY,0,majch98@gmail.com,010-6967-9074,마재창
e57d66b7-7e8a-4f66-bd5d-d98913396fad,SHIPPED,2024-10-10 17:34:14,2024-10-13 17:34:14,33300,2,KAKAOPAY,0,qnrntmvls@gmail.com,010-5438-6804,박지호
a76dad95-e83b-458e-88b3-9468b85ea778,SHIPPED,2025-05-16 22:00:22,2025-05-21 22:00:22,112680,2,LPAY,0,qnrntmvls@gmail.com,010-8920-6043,박지호
03546e82-e01e-4c65-94ef-c5967a7559bb,SHIPPED,2025-04-22 18:58:57,2025-04-27 18:58:57,118800,2,CARD,0,qnrntmvls@gmail.com,010-4072-5760,박지호
b259f738-4e09-4831-83aa-65492ddacc98,SHIPPED,2024-05-24 02:52:15,2024-05-31 02:52:15,105300,2,TMONEY,0,qnrntmvls@gmail.com,010-2547-2928,박지호
257d5078-a09e-4245-a430-3c12c5e75e3f,SHIPPED,2024-08-30 04:49:49,2024-09-03 04:49:49,122400,3,NAVERPAY,0,majch98@gmail.com,010-3187-5261,마재창
7006b136-54ab-4b2c-9932-ae5e36684e52,SHIPPED,2025-04-18 20:37:28,2025-04-19 20:37:28,45360,1,TOSSPAY,0,qnrntmvls@gmail.com,010-4639-9948,박지호
186cee13-c1d0-4b28-b9ab-3df5f4bb5f3e,SHIPPED,2024-12-24 11:56:10,2024-12-25 11:56:10,81000,1,EASYPAY,0,dianaseong31@gmail.com,010-2601-6529,성다해
b78b0e3f-9f43-48ca-b8c4-f492c8e5e055,SHIPPED,2025-02-19 14:44:40,2025-02-25 14:44:40,122400,2,CARD,0,qnrntmvls@gmail.com,010-7495-7612,박지호
0e7160ae-cae2-47fe-9015-1d02e6a8aee6,SHIPPED,2025-04-22 23:46:52,2025-04-24 23:46:52,73800,2,TMONEY,0,majch98@gmail.com,010-6618-7795,마재창
1471b8c4-e727-437c-a2d5-009265669d19,CANCELED,2024-08-14 17:18:24,2024-08-21 17:18:24,33120,2,CARD,0,qnrntmvls@gmail.com,010-4546-2691,박지호
db8710bd-5873-4cf5-bc3f-a87ee863618c,SHIPPED,2024-06-07 16:11:18,2024-06-11 16:11:18,29700,1,KAKAOPAY,0,dianaseong31@gmail.com,010-8952-3790,성다해
