order_id,name,receiver,zipcode,address_main,address_sub,contact
2bf1a021-aa0b-44e1-bc8f-d30606806742,배송지2,마재창,19558,서울특별시 강남구 테헤란로 0길,678호,010-7490-8859
bdae4856-b352-4bad-99ac-c0777217b0ed,배송지1,박지호,78386,서울특별시 강남구 테헤란로 1길,837호,010-4267-8058
2d95be0c-3ece-4097-b57a-7a702c7589f3,배송지1,성다해,44350,서울특별시 강남구 테헤란로 2길,749호,010-3941-1462
4b834b33-6df1-4eac-843b-ce45c167b556,배송지4,박지호,68457,서울특별시 강남구 테헤란로 3길,699호,010-6599-7164
4f900ede-19ca-4dc9-b74c-804e21c80e0a,배송지2,마재창,85496,서울특별시 강남구 테헤란로 4길,935호,010-5438-7824
12550c0b-a24d-4908-aa31-d1c7b03109cd,배송지2,성다해,14025,서울특별시 강남구 테헤란로 5길,748호,010-2802-7376
624bc8d5-88b2-45fe-812d-c13f1ec64da4,배송지2,성다해,76759,서울특별시 강남구 테헤란로 6길,765호,010-5625-1642
e04d68f1-7d54-45c3-82bd-93aed4e90e28,배송지1,박지호,93152,서울특별시 강남구 테헤란로 7길,427호,010-3173-9725
11167fa5-ff44-47dd-8a2b-6f79d2beff08,배송지2,박지호,45153,서울특별시 강남구 테헤란로 8길,755호,010-6181-8681
3a541b92-583e-4ef4-a421-6ea67ed49480,배송지1,박지호,19874,서울특별시 강남구 테헤란로 9길,821호,010-9757-6246
7035fcb1-88ac-4720-91da-6dc9aea2f6d3,배송지4,마재창,96521,서울특별시 강남구 테헤란로 10길,919호,010-7353-2500
abecc39b-892c-439e-a6f3-c71c0fffca38,배송지4,마재창,26853,서울특별시 강남구 테헤란로 11길,311호,010-5134-1382
c1fc23c1-349e-46df-8ef9-91f106c2a1cf,배송지3,박지호,15122,서울특별시 강남구 테헤란로 12길,630호,010-9655-6046
425e8675-8ff9-4b5e-8320-4d2b1e303adc,배송지3,마재창,74499,서울특별시 강남구 테헤란로 13길,198호,010-8441-9030
bd0ff34f-2f09-46b4-adaa-cef7599b9ba9,배송지4,박지호,75365,서울특별시 강남구 테헤란로 14길,334호,010-7101-6782
47f6b21f-d213-416b-8a7b-ac69787eb1ef,배송지3,마재창,56376,서울특별시 강남구 테헤란로 15길,488호,010-3454-5745
9fe216f3-b49d-4783-8772-d3aa9704d51f,배송지2,성다해,36509,서울특별시 강남구 테헤란로 16길,312호,010-9531-5947
2a1536aa-1bad-45be-bc94-a66bf5787822,배송지1,마재창,36274,서울특별시 강남구 테헤란로 17길,683호,010-8470-5665
1dd9bc74-aee9-471f-8e06-d390ac999983,배송지4,박지호,34980,서울특별시 강남구 테헤란로 18길,201호,010-5386-8152
6d0ab98a-ac26-4365-b559-23dfc7d115dc,배송지1,마재창,15761,서울특별시 강남구 테헤란로 19길,569호,010-2623-1519
50a3e8bb-1b77-4d39-ac3d-961e5a4c9539,배송지1,성다해,55152,서울특별시 강남구 테헤란로 20길,503호,010-6483-9871
5ab1745f-86dc-4531-85b0-98ac861eda10,배송지1,성다해,58783,서울특별시 강남구 테헤란로 21길,595호,010-2407-7207
89ddc959-0443-4a16-af56-37210cd89161,배송지1,마재창,44534,서울특별시 강남구 테헤란로 22길,346호,010-1406-7399
e050b226-3161-4601-a4d2-cac01168f91e,배송지1,마재창,86471,서울특별시 강남구 테헤란로 23길,421호,010-3863-1613
8e062164-6b94-44d0-8d8f-612dfe7ace0b,배송지1,박지호,53170,서울특별시 강남구 테헤란로 24길,124호,010-9445-6166
14158cbd-5fd6-46b8-ac2d-0e0c8b595ef2,배송지4,마재창,76648,서울특별시 강남구 테헤란로 25길,450호,010-8009-1515
dd9a8644-fa54-43ab-a4e2-2dd1cedbec2b,배송지2,성다해,85613,서울특별시 강남구 테헤란로 26길,672호,010-2289-4932
9227bc61-49d9-4d6d-a1f4-6f3592788ac7,배송지4,성다해,32599,서울특별시 강남구 테헤란로 27길,218호,010-6541-8676
caedfcf6-cb1e-4724-bf09-723b4238ee3f,배송지4,마재창,48583,서울특별시 강남구 테헤란로 28길,491호,010-5218-7624
84831fa9-35d2-4938-acc3-4ec5e43e5225,배송지3,박지호,15799,서울특별시 강남구 테헤란로 29길,493호,010-9870-9952
31b64368-b258-455c-8cf9-3d6ea293afe9,배송지1,성다해,12491,서울특별시 강남구 테헤란로 30길,986호,010-3780-6304
e75bb33f-3fb3-464c-af9d-15c4e5e8d148,배송지2,마재창,99308,서울특별시 강남구 테헤란로 31길,113호,010-5202-7765
020d8321-ab04-4bdd-9a21-a32cad4e8e2c,배송지1,마재창,64218,서울특별시 강남구 테헤란로 32길,199호,010-8638-3424
7d98efbc-038b-4337-a453-43caa002169d,배송지3,박지호,79900,서울특별시 강남구 테헤란로 33길,615호,010-5964-2091
dd9cd4b5-c0fe-4999-9b7e-93b4b08989c2,배송지1,마재창,78957,서울특별시 강남구 테헤란로 34길,693호,010-8860-1690
ceaf86dc-44a1-4166-8de5-a8dd1a5f62ee,배송지3,성다해,68806,서울특별시 강남구 테헤란로 35길,331호,010-1881-4372
58b7418e-e98b-4550-97a9-ad9fd96b8aa0,배송지4,박지호,98595,서울특별시 강남구 테헤란로 36길,855호,010-7015-5031
df6cd33f-f6f2-42ea-8901-b85f2a5c16c4,배송지3,성다해,53430,서울특별시 강남구 테헤란로 37길,405호,010-3227-2488
254a03ba-1957-4706-9f16-a7c25944f2ad,배송지1,성다해,82846,서울특별시 강남구 테헤란로 38길,346호,010-3165-3068
39a7bb06-ec49-4722-a7cc-e2a6f50982af,배송지4,성다해,73655,서울특별시 강남구 테헤란로 39길,245호,010-3752-8156
e2374bd2-5503-445d-afa3-fac58b16b514,배송지3,박지호,10580,서울특별시 강남구 테헤란로 40길,212호,010-5763-4857
e43586c4-3d35-4dde-97cd-ec2f0e8f0245,배송지1,박지호,40043,서울특별시 강남구 테헤란로 41길,782호,010-5239-9102
b4362257-e5f5-4dfa-9576-162e029ae3d8,배송지4,박지호,44270,서울특별시 강남구 테헤란로 42길,373호,010-1911-4638
185e7d84-6ee3-4b33-a141-b7e83a89be7a,배송지1,마재창,76550,서울특별시 강남구 테헤란로 43길,170호,010-6967-9074
e57d66b7-7e8a-4f66-bd5d-d98913396fad,배송지3,박지호,53909,서울특별시 강남구 테헤란로 44길,162호,010-5438-6804
a76dad95-e83b-458e-88b3-9468b85ea778,배송지1,박지호,89889,서울특별시 강남구 테헤란로 45길,639호,010-8920-6043
03546e82-e01e-4c65-94ef-c5967a7559bb,배송지2,박지호,33383,서울특별시 강남구 테헤란로 46길,881호,010-4072-5760
b259f738-4e09-4831-83aa-65492ddacc98,배송지4,박지호,27911,서울특별시 강남구 테헤란로 47길,477호,010-2547-2928
257d5078-a09e-4245-a430-3c12c5e75e3f,배송지4,마재창,79897,서울특별시 강남구 테헤란로 48길,843호,010-3187-5261
7006b136-54ab-4b2c-9932-ae5e36684e52,배송지4,박지호,65363,서울특별시 강남구 테헤란로 49길,790호,010-4639-9948
186cee13-c1d0-4b28-b9ab-3df5f4bb5f3e,배송지1,성다해,93145,서울특별시 강남구 테헤란로 50길,919호,010-2601-6529
b78b0e3f-9f43-48ca-b8c4-f492c8e5e055,배송지4,박지호,95952,서울특별시 강남구 테헤란로 51길,303호,010-7495-7612
0e7160ae-cae2-47fe-9015-1d02e6a8aee6,배송지4,마재창,90577,서울특별시 강남구 테헤란로 52길,759호,010-6618-7795
1471b8c4-e727-437c-a2d5-009265669d19,배송지2,박지호,19838,서울특별시 강남구 테헤란로 53길,667호,010-4546-2691
